Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"DCHS2","Dachsous Cadherin-Related 2","Protein Coding","Q6V1P9","44","GC04M154232","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCHS2"
"DDX55","DEAD-Box Helicase 55","Protein Coding","Q8NHQ9","44","GC12P123602","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX55"
"DHX40","DEAH-Box Helicase 40","Protein Coding","Q8IX18","44","GC17P059565","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX40"
"DMAC1","Distal Membrane Arm Assembly Component 1","Protein Coding","Q96GE9","44","GC09M007798","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMAC1"
"DMRTA1","DMRT Like Family A1","Protein Coding","Q5VZB9","44","GC09P022436","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMRTA1"
"DMRTA2","DMRT Like Family A2","Protein Coding","Q96SC8","44","GC01M050417","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMRTA2"
"DNAJB8","DnaJ Heat Shock Protein Family (Hsp40) Member B8","Protein Coding","Q8NHS0","44","GC03M128462","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJB8"
"DUSP8","Dual Specificity Phosphatase 8","Protein Coding","Q13202","44","GC11M013286","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP8"
"E2F7","E2F Transcription Factor 7","Protein Coding","Q96AV8","44","GC12M077021","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F7"
"EIF4E3","Eukaryotic Translation Initiation Factor 4E Family Member 3","Protein Coding","Q8N5X7","44","GC03M071675","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E3"
"ELFN1","Extracellular Leucine Rich Repeat And Fibronectin Type III Domain Containing 1","Protein Coding","P0C7U0","44","GC07P015207","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELFN1"
"ENGASE","Endo-Beta-N-Acetylglucosaminidase","Protein Coding","Q8NFI3","44","GC17P134759","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENGASE"
"ENPP6","Ectonucleotide Pyrophosphatase/Phosphodiesterase 6","Protein Coding","Q6UWR7","44","GC04M184088","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP6"
"EPB41L4B","Erythrocyte Membrane Protein Band 4.1 Like 4B","Protein Coding","Q9H329","44","GC09M109171","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L4B"
"ETAA1","ETAA1 Activator Of ATR Kinase","Protein Coding","Q9NY74","44","GC02P067397","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETAA1"
"FAM98B","Family With Sequence Similarity 98 Member B","Protein Coding","Q52LJ0","44","GC15P038454","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM98B"
"FAT3","FAT Atypical Cadherin 3","Protein Coding","Q8TDW7","44","GC11P092224","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAT3"
"FCHSD2","FCH And Double SH3 Domains 2","Protein Coding","O94868","44","GC11M072836","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCHSD2"
"FGFBP2","Fibroblast Growth Factor Binding Protein 2","Protein Coding","Q9BYJ0","44","GC04M015961","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFBP2"
"FILIP1","Filamin A Interacting Protein 1","Protein Coding","Q7Z7B0","44","GC06M075291","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FILIP1"
"FRAT2","FRAT Regulator Of WNT Signaling Pathway 2","Protein Coding","O75474","44","GC10M097332","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRAT2"
"FSD2","Fibronectin Type III And SPRY Domain Containing 2","Protein Coding","A1L4K1","44","GC15M082755","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSD2"
"FTSJ3","FtsJ RNA 2'-O-Methyltransferase 3","Protein Coding","Q8IY81","44","GC17M063819","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTSJ3"
"GALNT13","Polypeptide N-Acetylgalactosaminyltransferase 13","Protein Coding","Q8IUC8","44","GC02P153069","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT13"
"GCC1","GRIP And Coiled-Coil Domain Containing 1","Protein Coding","Q96CN9","44","GC07M127580","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCC1"
"GDAP1L1","Ganglioside Induced Differentiation Associated Protein 1 Like 1","Protein Coding","Q96MZ0","44","GC20P044247","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDAP1L1"
"GINS4","GINS Complex Subunit 4","Protein Coding","Q9BRT9","44","GC08P041529","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GINS4"
"GPATCH1","G-Patch Domain Containing 1","Protein Coding","Q9BRR8","44","GC19P033080","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPATCH1"
"GPR139","G Protein-Coupled Receptor 139","Protein Coding","Q6DWJ6","44","GC16M027660","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR139"
"GPR19","G Protein-Coupled Receptor 19","Protein Coding","Q15760","44","GC12M033144","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR19"
"GPR89A","G Protein-Coupled Receptor 89A","Protein Coding","B7ZAQ6","44","GC01P145607","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR89A"
"GULP1","GULP PTB Domain Containing Engulfment Adaptor 1","Protein Coding","Q9UBP9","44","GC02P188291","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GULP1"
"HASPIN","Histone H3 Associated Protein Kinase","Protein Coding","Q8TF76","44","GC17P132467","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HASPIN"
"HEATR5B","HEAT Repeat Containing 5B","Protein Coding","Q9P2D3","44","GC02M036949","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEATR5B"
"HECW1","HECT, C2 And WW Domain Containing E3 Ubiquitin Protein Ligase 1","Protein Coding","Q76N89","44","GC07P043112","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HECW1"
"HLA-DOB","Major Histocompatibility Complex, Class II, DO Beta","Protein Coding","P13765","44","GC06M100369","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DOB"
"KAZN","Kazrin, Periplakin Interacting Protein","Protein Coding","Q674X7","44","GC01P060486","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAZN"
"KBTBD8","Kelch Repeat And BTB Domain Containing 8","Protein Coding","Q8NFY9","44","GC03P066998","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KBTBD8"
"KCNK7","Potassium Two Pore Domain Channel Subfamily K Member 7","Protein Coding","Q9Y2U2","44","GC11M065592","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK7"
"KCTD8","Potassium Channel Tetramerization Domain Containing 8","Protein Coding","Q6ZWB6","44","GC04M044173","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCTD8"
"KDF1","Keratinocyte Differentiation Factor 1","Protein Coding","Q8NAX2","44","GC01M026949","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDF1"
"KLHDC4","Kelch Domain Containing 4","Protein Coding","Q8TBB5","44","GC16M087696","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHDC4"
"KPNA7","Karyopherin Subunit Alpha 7","Protein Coding","A9QM74","44","GC07M099173","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA7"
"LEMD1","LEM Domain Containing 1","Protein Coding","Q68G75","44","GC01M205381","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEMD1"
"LRRC17","Leucine Rich Repeat Containing 17","Protein Coding","Q8N6Y2","44","GC07P108883","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC17"
"LTV1","LTV1 Ribosome Biogenesis Factor","Protein Coding","Q96GA3","44","GC06P143843","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTV1"
"M1AP","Meiosis 1 Associated Protein","Protein Coding","Q8TC57","44","GC02M074557","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=M1AP"
"MANSC1","MANSC Domain Containing 1","Protein Coding","Q9H8J5","44","GC12M012326","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MANSC1"
"MBOAT1","Membrane Bound O-Acyltransferase Domain Containing 1","Protein Coding","Q6ZNC8","44","GC06M020147","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBOAT1"
"METTL15","Methyltransferase 15, Mitochondrial 12S RRNA N4-Cytidine","Protein Coding","A6NJ78","44","GC11P028109","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL15"
"METTL2B","Methyltransferase 2B, TRNA N3-Cytidine","Protein Coding","Q6P1Q9","44","GC07P138814","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL2B"
"MUCL3","Mucin Like 3","Protein Coding","Q3MIW9","44","GC06P171165","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUCL3"
"NELFE","Negative Elongation Factor Complex Member E","Protein Coding","P18615","44","GC06M031952","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELFE"
"NEURL4","Neuralized E3 Ubiquitin Protein Ligase 4","Protein Coding","Q96JN8","44","GC17M007315","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEURL4"
"NFATC2IP","Nuclear Factor Of Activated T Cells 2 Interacting Protein","Protein Coding","Q8NCF5","44","GC16P104829","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFATC2IP"
"NFX1","Nuclear Transcription Factor, X-Box Binding 1","Protein Coding","Q12986","44","GC09P059948","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFX1"
"NKX2-3","NK2 Homeobox 3","Protein Coding","Q8TAU0","44","GC10P099532","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-3"
"NOC4L","Nucleolar Complex Associated 4 Homolog","Protein Coding","Q9BVI4","44","GC12P132144","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOC4L"
"NOL4","Nucleolar Protein 4","Protein Coding","O94818","44","GC18M033851","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOL4"
"NRBP1","Nuclear Receptor Binding Protein 1","Protein Coding","Q9UHY1","44","GC02P027427","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRBP1"
"NT5DC2","5'-Nucleotidase Domain Containing 2","Protein Coding","Q9H857","44","GC03M052524","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5DC2"
"NUDCD3","NudC Domain Containing 3","Protein Coding","Q8IVD9","44","GC07M044379","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDCD3"
"PCBP4","Poly(RC) Binding Protein 4","Protein Coding","P57723","44","GC03M051957","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP4"
"PHRF1","PHD And Ring Finger Domains 1","Protein Coding","Q9P1Y6","44","GC11P014018","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHRF1"
"PITPNM2","Phosphatidylinositol Transfer Protein Membrane Associated 2","Protein Coding","Q9BZ72","44","GC12M122983","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITPNM2"
"PKNOX2","PBX/Knotted 1 Homeobox 2","Protein Coding","Q96KN3","44","GC11P125164","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKNOX2"
"PLEKHM2","Pleckstrin Homology And RUN Domain Containing M2","Protein Coding","Q8IWE5","44","GC01P060571","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHM2"
"POU5F1B","POU Class 5 Homeobox 1B","Protein Coding","Q06416","44","GC08P127322","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1B"
"PPP1R18","Protein Phosphatase 1 Regulatory Subunit 18","Protein Coding","Q6NYC8","44","GC06M100217","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R18"
"PPP4R3A","Protein Phosphatase 4 Regulatory Subunit 3A","Protein Coding","Q6IN85","44","GC14M121998","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP4R3A"
"PRPF40B","Pre-MRNA Processing Factor 40 Homolog B","Protein Coding","Q6NWY9","44","GC12P049568","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF40B"
"PTPRQ","Protein Tyrosine Phosphatase Receptor Type Q","Protein Coding","Q9UMZ3","44","GC12P080402","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRQ"
"PTTG1IP","PTTG1 Interacting Protein","Protein Coding","P53801","44","GC21M044849","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTTG1IP"
"RABGAP1","RAB GTPase Activating Protein 1","Protein Coding","Q9Y3P9","44","GC09P146215","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABGAP1"
"RBM43","RNA Binding Motif Protein 43","Protein Coding","Q6ZSC3","44","GC02M151247","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM43"
"RBMS3","RNA Binding Motif Single Stranded Interacting Protein 3","Protein Coding","Q6XE24","44","GC03P028575","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMS3"
"RCCD1","RCC1 Domain Containing 1","Protein Coding","A6NED2","44","GC15P090954","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCCD1"
"RER1","Retention In Endoplasmic Reticulum Sorting Receptor 1","Protein Coding","O15258","44","GC01P002391","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RER1"
"RHBDL2","Rhomboid Like 2","Protein Coding","Q9NX52","44","GC01M038885","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDL2"
"RHOU","Ras Homolog Family Member U","Protein Coding","Q7L0Q8","44","GC01P228644","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOU"
"RNF166","Ring Finger Protein 166","Protein Coding","Q96A37","44","GC16M088696","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF166"
"RPAP3","RNA Polymerase II Associated Protein 3","Protein Coding","Q9H6T3","44","GC12M047661","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPAP3"
"RPP25","Ribonuclease P And MRP Subunit P25","Protein Coding","Q9BUL9","44","GC15M074954","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPP25"
"SDK1","Sidekick Cell Adhesion Molecule 1","Protein Coding","Q7Z5N4","44","GC07P015286","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDK1"
"SFI1","SFI1 Centrin Binding Protein","Protein Coding","A8K8P3","44","GC22P031488","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFI1"
"SFMBT1","Scm Like With Four Mbt Domains 1","Protein Coding","Q9UHJ3","44","GC03M054415","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFMBT1"
"SGIP1","SH3GL Interacting Endocytic Adaptor 1","Protein Coding","Q9BQI5","44","GC01P066533","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGIP1"
"SKA2","Spindle And Kinetochore Associated Complex Subunit 2","Protein Coding","Q8WVK7","44","GC17M059109","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKA2"
"SLC25A35","Solute Carrier Family 25 Member 35","Protein Coding","Q3KQZ1","44","GC17M008287","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A35"
"SLCO4C1","Solute Carrier Organic Anion Transporter Family Member 4C1","Protein Coding","Q6ZQN7","44","GC05M102233","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO4C1"
"SMG8","SMG8 Nonsense Mediated MRNA Decay Factor","Protein Coding","Q8ND04","44","GC17P059209","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMG8"
"SNX29","Sorting Nexin 29","Protein Coding","Q8TEQ0","44","GC16P011976","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX29"
"SNX32","Sorting Nexin 32","Protein Coding","Q86XE0","44","GC11P065833","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX32"
"SNX8","Sorting Nexin 8","Protein Coding","Q9Y5X2","44","GC07M002251","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX8"
"SPNS1","SPNS Lysolipid Transporter 1, Lysophospholipid","Protein Coding","Q9H2V7","44","GC16P028974","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPNS1"
"STRIP1","Striatin Interacting Protein 1","Protein Coding","Q5VSL9","44","GC01P110032","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STRIP1"
"SYCE2","Synaptonemal Complex Central Element Protein 2","Protein Coding","Q6PIF2","44","GC19M012898","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYCE2"
"SYT10","Synaptotagmin 10","Protein Coding","Q6XYQ8","44","GC12M033374","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYT10"
"TAFA2","TAFA Chemokine Like Family Member 2","Protein Coding","Q8N3H0","44","GC12M061709","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAFA2"
"TAS2R1","Taste 2 Receptor Member 1","Protein Coding","Q9NYW7","44","GC05M009630","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAS2R1"
"TBC1D10A","TBC1 Domain Family Member 10A","Protein Coding","Q9BXI6","44","GC22M030291","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D10A"
"TCF19","Transcription Factor 19","Protein Coding","Q9Y242","44","GC06P156233","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF19"
"TCTE1","T-Complex-Associated-Testis-Expressed 1","Protein Coding","Q5JU00","44","GC06M044278","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCTE1"
"TENT5C","Terminal Nucleotidyltransferase 5C","Protein Coding","Q5VWP2","44","GC01P117606","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT5C"
"TEX15","Testis Expressed 15, Meiosis And Synapsis Associated","Protein Coding","Q9BXT5","44","GC08M030831","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEX15"
"TJAP1","Tight Junction Associated Protein 1","Protein Coding","Q5JTD0","44","GC06P043477","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJAP1"
"TM4SF4","Transmembrane 4 L Six Family Member 4","Protein Coding","P48230","44","GC03P149473","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM4SF4"
"TMBIM4","Transmembrane BAX Inhibitor Motif Containing 4","Protein Coding","Q9HC24","44","GC12M066135","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMBIM4"
"TMED4","Transmembrane P24 Trafficking Protein 4","Protein Coding","Q7Z7H5","44","GC07M044577","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED4"
"TMEM8B","Transmembrane Protein 8B","Protein Coding","A6NDV4","44","GC09P035814","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM8B"
"TREML1","Triggering Receptor Expressed On Myeloid Cells Like 1","Protein Coding","Q86YW5","44","GC06M100501","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREML1"
"TSPAN15","Tetraspanin 15","Protein Coding","O95858","44","GC10P069451","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN15"
"TSPAN32","Tetraspanin 32","Protein Coding","Q96QS1","44","GC11P014106","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN32"
"TTLL6","Tubulin Tyrosine Ligase Like 6","Protein Coding","Q8N841","44","GC17M089709","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTLL6"
"TUBG2","Tubulin Gamma 2","Protein Coding","Q9NRH3","44","GC17P042659","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBG2"
"WDR7","WD Repeat Domain 7","Protein Coding","Q9Y4E6","44","GC18P056651","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR7"
"ZBTB26","Zinc Finger And BTB Domain Containing 26","Protein Coding","Q9HCK0","44","GC09M122915","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB26"
"ZBTB4","Zinc Finger And BTB Domain Containing 4","Protein Coding","Q9P1Z0","44","GC17M007459","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB4"
"ZC3H13","Zinc Finger CCCH-Type Containing 13","Protein Coding","Q5T200","44","GC13M045954","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3H13"
"ZFPL1","Zinc Finger Protein Like 1","Protein Coding","O95159","44","GC11P065084","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFPL1"
"ZNF169","Zinc Finger Protein 169","Protein Coding","Q14929","44","GC09P094259","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF169"
"ZNF268","Zinc Finger Protein 268","Protein Coding","Q14587","44","GC12P133181","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF268"
"ZNF281","Zinc Finger Protein 281","Protein Coding","Q9Y2X9","44","GC01M200404","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF281"
"ZNF300","Zinc Finger Protein 300","Protein Coding","Q96RE9","44","GC05M150894","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF300"
"ZNF346","Zinc Finger Protein 346","Protein Coding","Q9UL40","44","GC05P177022","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF346"
"ZNF608","Zinc Finger Protein 608","Protein Coding","Q9ULD9","44","GC05M124636","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF608"
"ACTBL2","Actin Beta Like 2","Protein Coding","Q562R1","43","GC05M057480","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTBL2"
"ADAM30","ADAM Metallopeptidase Domain 30","Protein Coding","Q9UKF2","43","GC01M119893","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM30"
"ALG10B","ALG10 Alpha-1,2-Glucosyltransferase B","Protein Coding","Q5I7T1","43","GC12P038316","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG10B"
"AP5B1","Adaptor Related Protein Complex 5 Subunit Beta 1","Protein Coding","Q2VPB7","43","GC11M065773","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP5B1"
"APOBEC3F","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3F","Protein Coding","Q8IUX4","43","GC22P039040","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3F"
"ARHGAP19","Rho GTPase Activating Protein 19","Protein Coding","Q14CB8","43","GC10M097222","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP19"
"ARL4D","ADP Ribosylation Factor Like GTPase 4D","Protein Coding","P49703","43","GC17P043398","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL4D"
"ASB7","Ankyrin Repeat And SOCS Box Containing 7","Protein Coding","Q9H672","43","GC15P100602","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASB7"
"ATG16L2","Autophagy Related 16 Like 2","Protein Coding","Q8NAA4","43","GC11P072814","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L2"
"BORCS5","BLOC-1 Related Complex Subunit 5","Protein Coding","Q969J3","43","GC12P046982","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BORCS5"
"CCDC12","Coiled-Coil Domain Containing 12","Protein Coding","Q8WUD4","43","GC03M046959","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC12"
"CCDC68","Coiled-Coil Domain Containing 68","Protein Coding","Q9H2F9","43","GC18M054901","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC68"
"CCDC69","Coiled-Coil Domain Containing 69","Protein Coding","A6NI79","43","GC05M151181","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC69"
"CCDC77","Coiled-Coil Domain Containing 77","Protein Coding","Q9BR77","43","GC12P000393","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC77"
"CCDC82","Coiled-Coil Domain Containing 82","Protein Coding","Q8N4S0","43","GC11M133445","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC82"
"CCDC85C","Coiled-Coil Domain Containing 85C","Protein Coding","A6NKD9","43","GC14M099500","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC85C"
"CCL14","C-C Motif Chemokine Ligand 14","Protein Coding","Q16627","43","GC17M089044","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL14"
"CEACAM21","CEA Cell Adhesion Molecule 21","Protein Coding","Q3KPI0","43","GC19P133112","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM21"
"CHTOP","Chromatin Target Of PRMT1","Protein Coding","Q9Y3Y2","43","GC01P153633","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHTOP"
"CNOT6","CCR4-NOT Transcription Complex Subunit 6","Protein Coding","Q9ULM6","43","GC05P180494","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT6"
"COA8","Cytochrome C Oxidase Assembly Factor 8","Protein Coding","Q96IL0","43","GC14P118188","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COA8"
"COL28A1","Collagen Type XXVIII Alpha 1 Chain","Protein Coding","Q2UY09","43","GC07M007338","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL28A1"
"CWH43","Cell Wall Biogenesis 43 C-Terminal Homolog","Protein Coding","Q9H720","43","GC04P048988","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWH43"
"CYTH4","Cytohesin 4","Protein Coding","Q9UIA0","43","GC22P037282","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYTH4"
"DBNDD1","Dysbindin Domain Containing 1","Protein Coding","Q9H9R9","43","GC16M090004","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBNDD1"
